,value
2022-07-15,90969.20085541745
2022-07-18,92368.53844925412
2022-07-19,93140.5172132797
2022-07-20,92756.57765939287
2022-07-21,93975.73562376303
2022-07-22,94329.78002848147
2022-07-25,93950.03295632571
2022-07-26,94013.85159923264
2022-07-27,94884.48175586046
2022-07-28,95691.90408089386
2022-07-29,96705.47281310569
2022-08-01,98364.37589498829
2022-08-02,98981.9514204497
2022-08-03,98976.81850067498
2022-08-04,98668.41749246862
2022-08-05,99096.25600614343
2022-08-08,100038.7485459
2022-08-10,99684.1636155645
2022-08-11,100096.48597468737
2022-08-12,102058.080215653
2022-08-16,104061.44477950058
2022-08-17,104591.19076852799
2022-08-18,104993.74848538736
2022-08-19,103385.3496949009
2022-08-22,101131.67874275873
2022-08-23,102039.33409050913
2022-08-24,102588.30472477971
2022-08-25,102685.70985067844
2022-08-26,103543.00164494205
2022-08-29,103221.66758902052
2022-08-30,105216.50397400362
2022-09-01,105911.31789988549
2022-09-02,105689.01078715724
2022-09-05,106780.92410009206
2022-09-06,106006.13492856383
2022-09-07,107889.51124622581
2022-09-08,108824.42721265738
2022-09-09,108719.1184975929
2022-09-12,109705.07161243967
2022-09-13,109897.93922101254
2022-09-14,110153.46529132946
2022-09-15,110361.60886584145
2022-09-16,108127.87577629912
2022-09-19,108519.00518995179
2022-09-20,109636.20861456903
2022-09-21,108476.53801959613
2022-09-22,108597.4330482604
2022-09-23,106459.50609325641
2022-09-26,103102.5405741416
2022-09-27,102527.72205215179
2022-09-28,101752.6517570419
2022-09-29,102037.23690221972
2022-09-30,103980.91289406588
2022-10-03,103072.44343299749
2022-10-04,105725.52030416406
2022-10-06,107680.93594440505
2022-10-07,108298.12175874374
2022-10-10,107810.78661414176
2022-10-11,106094.00531164794
2022-10-12,106344.81380601475
2022-10-13,105538.55917933722
2022-10-14,105664.06367754127
2022-10-17,105679.82566704623
2022-10-18,107250.35956834897
2022-10-19,107230.96967115882
2022-10-20,107225.38534817574
2022-10-21,106290.4732276194
2022-10-24,107659.82834882743
2022-10-25,108176.76851392609
2022-10-27,107802.4875927082
2022-10-28,107391.5900285922
2022-10-31,108194.84127149297
2022-11-01,108455.41409120822
2022-11-02,108682.41010845214
2022-11-03,109690.7155803468
2022-11-04,110448.82138580276
2022-11-07,111803.0028339005
2022-11-09,111649.56180746897
2022-11-10,110292.99001904906
2022-11-11,111586.6620637721
2022-11-14,111466.50139200862
2022-11-15,112357.08987140216
2022-11-16,111961.15910566055
2022-11-17,111674.69321588556
2022-11-18,111085.86106828775
2022-11-21,110114.00633746067
2022-11-22,110598.36665866218
2022-11-23,111766.84026703579
2022-11-24,113110.44082451575
2022-11-25,114293.39168790227
2022-11-28,115383.52474263769
2022-11-29,114896.73324617118
2022-11-30,115160.39257256332
2022-12-01,116505.12638755661
2022-12-02,117015.14858993649
2022-12-05,117353.72877181863
2022-12-06,116590.61190251882
2022-12-07,115974.99490613276
2022-12-08,116952.15163540182
2022-12-09,115247.09592539602
2022-12-12,115592.2156732213
2022-12-13,116777.70234790294
2022-12-14,117102.80054756186
2022-12-15,116520.72631955259
2022-12-16,115114.98375520321
2022-12-19,115582.6290797946
2022-12-20,115856.72006072046
2022-12-21,112421.91210714713
2022-12-22,109771.0948656711
2022-12-23,105516.46172267082
2022-12-26,109046.92848673854
2022-12-27,110478.75595360046
2022-12-28,110719.12183988596
2022-12-29,110961.4904428781
2022-12-30,111442.30807137975
2023-01-02,111818.3723539339
2023-01-03,113224.87886206376
2023-01-04,112076.87404274166
2023-01-05,111776.57752664483
2023-01-06,110815.62238494572
2023-01-09,111373.65940895157
2023-01-10,110637.93433972413
2023-01-11,110960.57732982753
2023-01-12,111152.88786847495
2023-01-13,113141.60026059448
2023-01-16,113472.25897105713
2023-01-17,112950.83179966379
2023-01-18,113359.69966587395
2023-01-19,113040.06182121711
2023-01-20,113000.12573547882
2023-01-23,113085.66707333412
2023-01-24,113073.51531337766
2023-01-25,111994.15503304033
2023-01-27,109383.64624220313
2023-01-30,110623.49378813364
2023-01-31,112715.63352060912
2023-02-01,109552.80838223187
2023-02-02,109397.28993702828
2023-02-03,110008.57079308601
2023-02-06,110691.2457683892
2023-02-07,110533.36348404943
2023-02-08,111362.19924172544
2023-02-09,110833.467902492
2023-02-10,110878.87645911089
2023-02-13,109430.61079014462
2023-02-14,109091.41875643509
2023-02-15,109292.29493057457
2023-02-16,109768.98819472374
2023-02-17,109531.01614174838
2023-02-20,109023.83663506596
2023-02-21,108633.36021265511
2023-02-22,106524.06433048735
2023-02-23,106464.23107187841
2023-02-24,106454.57047919973
2023-02-27,105010.08250924136
2023-02-28,105913.0790433899
2023-03-01,107730.68202369753
2023-03-02,108077.93985976012
2023-03-03,109559.91076855267
2023-03-06,110227.51890614456
2023-03-08,110134.88917811854
2023-03-09,109252.12066004817
2023-03-10,108709.19745543666
2023-03-13,106671.49969025193
2023-03-14,105659.27342254361
2023-03-15,105589.90279022157
2023-03-16,105250.37476886052
2023-03-17,105359.432180237
2023-03-20,104623.22826545108
2023-03-21,105856.92520897315
2023-03-22,105890.64933121213
2023-03-23,105740.0375622064
2023-03-24,104420.53182730752
2023-03-27,103377.6159827177
2023-03-28,102414.36677919784
