date,SBIN,HDFCBANK,BAJFINANCE,NEWGEN,IRCTC,AEROFLEX
2024-12-09,858.05,1870.0,6868.35,1429.15,833.7,215.59
2024-12-10,867.5,1868.1,6936.2,1417.55,835.0,212.76
2024-12-11,861.6,1863.1,7115.1,1420.75,855.45,216.71
2024-12-12,853.7,1859.25,7125.8,1404.45,839.9,230.61
2024-12-13,861.55,1871.75,7182.8,1390.35,835.45,227.3
2024-12-16,860.95,1865.2,7208.4,1428.9,842.5,218.03
2024-12-17,850.55,1833.25,7152.8,1498.4,826.8,216.22
2024-12-18,838.15,1810.7,7074.45,1498.45,813.0,209.83
2024-12-19,832.8,1793.5,6918.55,1522.25,805.55,218.5
2024-12-20,812.0,1771.5,6848.25,1574.05,784.25,204.85
2024-12-23,821.15,1801.0,6866.7,1585.35,788.2,204.28
2024-12-24,812.05,1798.1,6808.2,1602.65,788.8,205.47
2024-12-26,812.45,1790.75,6815.75,1686.2,782.4,202.39
2024-12-27,799.65,1798.25,6907.75,1621.65,779.25,206.82
2024-12-30,788.3,1777.9,6888.25,1705.85,768.95,198.78
2024-12-31,794.95,1772.85,6823.0,1701.8,786.9,202.09
2025-01-01,793.2,1782.75,6935.3,1699.7,788.9,207.04
2025-01-02,801.2,1793.75,7389.2,1718.8,794.5,212.51
2025-01-03,793.4,1749.2,7407.25,1690.15,796.3,210.23
2025-01-06,776.4,1710.5,7349.35,1644.0,770.35,200.84
2025-01-07,778.75,1713.4,7353.95,1680.7,775.4,207.29
2025-01-08,771.15,1694.3,7355.4,1642.65,769.9,202.86
2025-01-09,760.45,1667.8,7277.45,1606.25,763.8,196.09
2025-01-10,743.25,1656.75,7288.05,1626.6,779.15,188.3
2025-01-13,729.5,1630.85,7150.95,1579.1,746.85,176.33
2025-01-14,748.15,1646.6,7335.0,1575.35,757.75,184.28
2025-01-15,753.7,1643.05,7177.4,1755.9,759.55,186.13
2025-01-16,766.3,1652.05,7259.75,1628.7,763.2,223.35
2025-01-17,764.1,1636.75,7182.1,1586.1,779.2,243.7
2025-01-20,779.25,1651.25,7440.1,1564.75,791.1,243.59
2025-01-21,759.05,1642.4,7291.65,1311.35,782.7,234.33
2025-01-22,753.45,1666.05,7397.15,1234.05,770.65,234.12
2025-01-23,745.9,1664.9,7443.25,1223.55,795.2,248.38
2025-01-24,744.15,1649.8,7438.6,1174.6,787.5,244.06
2025-01-27,749.2,1629.8,7295.45,1057.15,747.7,227.99
2025-01-28,752.4,1670.4,7606.6,986.95,750.05,222.99
2025-01-29,758.45,1677.3,7759.65,1081.75,762.4,234.44
2025-01-30,762.6,1691.5,7901.65,1050.2,779.0,231.33
2025-01-31,772.9,1698.75,7885.1,1048.15,822.3,242.65
2025-02-01,766.0,1690.95,8000.1,1095.35,794.7,252.48
2025-02-03,760.95,1678.0,8425.8,1077.55,772.65,236.72
2025-02-04,779.2,1720.9,8475.35,1085.0,781.9,251.9
2025-02-05,766.05,1737.8,8509.45,1121.4,791.9,264.21
2025-02-06,752.25,1743.85,8507.3,1072.25,783.8,259.87
2025-02-07,737.2,1732.75,8474.25,1057.7,774.1,254.62
2025-02-10,736.8,1715.75,8286.8,1020.3,773.7,237.18
2025-02-11,731.1,1701.4,8191.2,979.85,750.95,209.31
2025-02-12,733.15,1706.8,8214.05,986.35,759.15,222.28
2025-02-13,727.65,1697.7,8409.0,980.1,746.35,215.05
2025-02-14,722.15,1694.85,8392.3,959.55,732.6,200.73
2025-02-17,727.7,1717.35,8426.6,967.75,725.45,193.18
2025-02-18,725.8,1723.05,8465.9,978.6,719.2,185.21
2025-02-19,727.3,1727.2,8439.45,1027.7,728.3,200.79
2025-02-20,729.7,1687.1,8399.45,991.55,735.5,200.96
